Time,x,y
1681569608.8439527,1.16170454,1.16170454
1681569608.8631673,1.200518608,1.200518608
1681569608.8845844,1.21386385,1.21386385
1681569608.902023,1.270050048,1.270050048
1681569608.9252958,1.29183197,1.29183197
1681569608.9696038,1.40428686,1.40428686
1681569609.0277958,1.47430563,1.47430563
1681569609.027798,1.509417056,1.509417056
1681569609.0832467,1.592054366,1.592054366
1681569609.0920906,1.61891079,1.61891079
1681569609.201021,1.686977386,1.686977386
1681569609.2010238,1.721143246,1.721143246
1681569609.2010257,1.802423,1.802423
1681569609.3567445,1.918714522,1.918714522
1681569609.3990417,2.264831066,2.264831066
1681569609.427934,2.287365436,2.287365436
1681569609.499563,2.40778923,2.40778923
1681569609.5798042,2.52682972,2.52682972
1681569609.716701,2.683813094,2.683813094
1681569609.7167869,2.76717472,2.76717472
1681569609.7167988,2.828986644,2.828986644
1681569609.7351441,2.908611298,2.908611298
1681569609.7497296,2.9671626079999998,2.9671626079999998
1681569609.828454,3.0614380839999997,3.0614380839999997
1681569609.846549,3.149636746,3.149636746
1681569609.8869915,3.217721938,3.217721938
1681569609.9230301,3.27798748,3.27798748
1681569609.9454787,3.3572125440000002,3.3572125440000002
1681569610.0161633,3.490427494,3.490427494
1681569610.0458074,3.563733578,3.563733578
1681569610.0823922,3.62249422,3.62249422
1681569610.096756,3.6541299819999997,3.6541299819999997
1681569610.1398082,3.716319084,3.716319084
1681569610.1676962,3.762858868,3.762858868
1681569610.2127156,3.854494572,3.854494572
1681569610.3252497,4.015835762,4.015835762
1681569610.3832808,4.197394848,4.197394848
1681569610.4233963,4.270618916,4.270618916
1681569610.4507992,4.320798874,4.320798874
1681569610.5299368,4.48993349,4.48993349
1681569610.584514,4.596122742,4.596122742
1681569610.6806633,4.725290774,4.725290774
1681569610.723397,4.83459568,4.83459568
1681569610.7839966,5.030276298,5.030276298
1681569610.9034505,5.132071494,5.132071494
1681569611.0093408,5.407575606,5.407575606
1681569611.0481136,5.554573058,5.554573058
1681569611.2287138,5.7650480260000005,5.7650480260000005
1681569611.390202,6.131942748,6.131942748
1681569611.423324,6.290220738,6.290220738
1681569611.5660946,6.5637331,6.5637331
1681569611.6954386,6.70016241,6.70016241
1681569611.8728223,6.91892004,6.91892004
1681569611.9933379,7.399393082,7.399393082
1681569612.1023526,7.576144694,7.576144694
1681569612.1645885,7.790119648,7.790119648
1681569612.3347828,7.882840632,7.882840632
1681569612.4185593,8.205203532,8.205203532
1681569612.4856756,8.366857528,8.366857528
1681569612.7134895,8.73420143,8.73420143
1681569612.7135046,8.806319714,8.806319714
1681569612.9571784,8.992181777999999,8.992181777999999
1681569612.957182,9.265109538,9.265109538
1681569613.0419927,9.5187006,9.5187006
1681569613.300331,9.755478382,9.755478382
1681569613.4103932,10.151838302,10.151838302
1681569613.4950595,10.267598152,10.267598152
1681569613.604682,10.584302424,10.584302424
1681569613.7440894,10.778739928,10.778739928
1681569613.8918338,11.013985156,11.013985156
1681569613.990651,11.328721046,11.328721046
